year,city,population,unemployment,fertility,growth_rate_prom
1927,Istanbul,794444,,,
1927,Ankara,404720,,,
1927,Izmir,526005,,,
1927,Adana,227718,,,
1927,Mugla,175390,,,
1927,Van,75329,,,
1935,Istanbul,883599,,,
1935,Ankara,534025,,,
1935,Izmir,596850,,,
1935,Adana,383645,,,
1935,Mugla,196772,,,
1935,Van,143434,,,
1940,Istanbul,991237,,,
1940,Ankara,602965,,,
1940,Izmir,640107,,,
1940,Adana,375777,,,
1940,Mugla,211445,,,
1940,Van,112975,,,
1945,Istanbul,1078399,,,
1945,Ankara,695526,,,
1945,Izmir,673581,,,
1945,Adana,418740,,,
1945,Mugla,220678,,,
1945,Van,127858,,,
1950,Istanbul,1166477,,,
1950,Ankara,819693,,,
1950,Izmir,768411,,,
1950,Adana,508518,,,
1950,Mugla,241640,,,
1950,Van,145944,,,
1955,Istanbul,1533822,,,
1955,Ankara,1120864,,,
1955,Izmir,910496,,,
1955,Adana,628505,,,
1955,Mugla,267579,,,
1955,Van,175250,,,
1960,Istanbul,1882092,,,
1960,Ankara,1321380,,,
1960,Izmir,1063490,,,
1960,Adana,760803,,,
1960,Mugla,299611,,,
1960,Van,211034,,,
1965,Istanbul,2293823,,,
1965,Ankara,1644302,,,
1965,Izmir,1234667,,,
1965,Adana,902712,,,
1965,Mugla,334973,,,
1965,Van,266840,,,
1970,Istanbul,3019032,,,
1970,Ankara,2041658,,,
1970,Izmir,1427173,,,
1970,Adana,1035377,,,
1970,Mugla,368776,,,
1970,Van,325763,,,
1975,Istanbul,3904588,,,
1975,Ankara,2585293,,,
1975,Izmir,1673966,,,
1975,Adana,1240475,,,
1975,Mugla,400796,,,
1975,Van,386314,,,
1980,Istanbul,4741890,,,
1980,Ankara,2854689,,,
1980,Izmir,1976763,,,
1980,Adana,1485743,,,
1980,Mugla,438145,,,
1980,Van,468646,,,
1985,Istanbul,5842985,,,
1985,Ankara,3306327,,,
1985,Izmir,2317829,,,
1985,Adana,1725940,,,
1985,Mugla,486290,,,
1985,Van,547216,,,
1990,Istanbul,7309190,,,
1990,Ankara,3236626,,,
1990,Izmir,2694770,,,
1990,Adana,1934907,,,
1990,Mugla,562809,,,
1990,Van,637433,,,
2000,Istanbul,10018735,,,
2000,Ankara,4007860,,,
2000,Izmir,3370866,,,
2000,Adana,1849478,,,
2000,Mugla,715328,,,
2000,Van,877524,,,
2007,Istanbul,12573836,8.9,2.16,13.1
2007,Ankara,4466756,8.9,2.16,13.1
2007,Izmir,3739353,8.9,2.16,13.1
2007,Adana,2006650,8.9,2.16,13.1
2007,Mugla,766156,8.9,2.16,13.1
2007,Van,979671,8.9,2.16,13.1
2008,Istanbul,12697164,9.8,2.15,13.1
2008,Ankara,4548939,9.8,2.15,13.1
2008,Izmir,3795978,9.8,2.15,13.1
2008,Adana,2026319,9.8,2.15,13.1
2008,Mugla,791424,9.8,2.15,13.1
2008,Van,1004369,9.8,2.15,13.1
2009,Istanbul,12915158,12.9,2.10,14.5
2009,Ankara,4650802,12.9,2.10,14.5
2009,Izmir,3868308,12.9,2.10,14.5
2009,Adana,2062226,12.9,2.10,14.5
2009,Mugla,802381,12.9,2.10,14.5
2009,Van,1022310,12.9,2.10,14.5
2010,Istanbul,13255685,11.0,2.08,15.9
2010,Ankara,4771716,11.0,2.08,15.9
2010,Izmir,3948848,11.0,2.08,15.9
2010,Adana,2085225,11.0,2.08,15.9
2010,Mugla,817503,11.0,2.08,15.9
2010,Van,1035418,11.0,2.08,15.9
2011,Istanbul,13624240,9.0,2.05,13.5
2011,Ankara,4890893,9.0,2.05,13.5
2011,Izmir,3965232,9.0,2.05,13.5
2011,Adana,2108805,9.0,2.05,13.5
2011,Mugla,838324,9.0,2.05,13.5
2011,Van,1022532,9.0,2.05,13.5
2012,Istanbul,13854740,8.3,2.11,12.0
2012,Ankara,4965542,8.3,2.11,12.0
2012,Izmir,4005459,8.3,2.11,12.0
2012,Adana,2125635,8.3,2.11,12.0
2012,Mugla,851145,8.3,2.11,12.0
2012,Van,1051975,8.3,2.11,12.0
2013,Istanbul,14160467,8.9,2.11,13.7
2013,Ankara,5045083,8.9,2.11,13.7
2013,Izmir,4061074,8.9,2.11,13.7
2013,Adana,2149260,8.9,2.11,13.7
2013,Mugla,866665,8.9,2.11,13.7
2013,Van,1070113,8.9,2.11,13.7
2014,Istanbul,14377018,9.9,2.19,13.3
2014,Ankara,5150072,9.9,2.19,13.3
2014,Izmir,4113072,9.9,2.19,13.3
2014,Adana,2165595,9.9,2.19,13.3
2014,Mugla,894509,9.9,2.19,13.3
2014,Van,1085542,9.9,2.19,13.3
2015,Istanbul,14657434,10.3,2.16,13.4
2015,Ankara,5270575,10.3,2.16,13.4
2015,Izmir,4168415,10.3,2.16,13.4
2015,Adana,2183167,10.3,2.16,13.4
2015,Mugla,908877,10.3,2.16,13.4
2015,Van,1096397,10.3,2.16,13.4
2016,Istanbul,14804116,10.9,2.11,13.5
2016,Ankara,5346518,10.9,2.11,13.5
2016,Izmir,4223545,10.9,2.11,13.5
2016,Adana,2201670,10.9,2.11,13.5
2016,Mugla,923773,10.9,2.11,13.5
2016,Van,1100190,10.9,2.11,13.5
2017,Istanbul,15029231,10.9,2.08,12.6
2017,Ankara,5445026,10.9,2.08,12.6
2017,Izmir,4279677,10.9,2.08,12.6
2017,Adana,2216475,10.9,2.08,12.6
2017,Mugla,938751,10.9,2.08,12.6
2017,Van,1106891,10.9,2.08,12.6
2018,Istanbul,15067724,10.9,2.00,14.7
2018,Ankara,5503985,10.9,2.00,14.7
2018,Izmir,4320519,10.9,2.00,14.7
2018,Adana,2220125,10.9,2.00,14.7
2018,Mugla,967487,10.9,2.00,14.7
2018,Van,1123784,10.9,2.00,14.7
2019,Istanbul,15519267,13.7,1.89,13.9
2019,Ankara,5639076,13.7,1.89,13.9
2019,Izmir,4367251,13.7,1.89,13.9
2019,Adana,2237940,13.7,1.89,13.9
2019,Mugla,983142,13.7,1.89,13.9
2019,Van,1136757,13.7,1.89,13.9
2020,Istanbul,15462452,13.1,1.77,5.5
2020,Ankara,5663322,13.1,1.77,5.5
2020,Izmir,4394694,13.1,1.77,5.5
2020,Adana,2258718,13.1,1.77,5.5
2020,Mugla,1000773,13.1,1.77,5.5
2020,Van,1149342,13.1,1.77,5.5
2021,Istanbul,15840900,12.0,1.71,13.1
2021,Ankara,5747325,12.0,1.71,13.1
2021,Izmir,4425789,12.0,1.71,13.1
2021,Adana,2263373,12.0,1.71,13.1
2021,Mugla,1021141,12.0,1.71,13.1
2021,Van,1141015,12.0,1.71,13.1
2022,Istanbul,15907951,10.4,1.63,7.1
2022,Ankara,5782285,10.4,1.63,7.1
2022,Izmir,4462056,10.4,1.63,7.1
2022,Adana,2274106,10.4,1.63,7.1
2022,Mugla,1048185,10.4,1.63,7.1
2022,Van,1128749,10.4,1.63,7.1
2023,Istanbul,15655924,9.4,1.51,1.1
2023,Ankara,5803482,9.4,1.51,1.1
2023,Izmir,4479525,9.4,1.51,1.1
2023,Adana,2270298,9.4,1.51,1.1
2023,Mugla,1066736,9.4,1.51,1.1
2023,Van,1127612,9.4,1.51,1.1
2024,Istanbul,15701602,8.7,1.48,3.4
2024,Ankara,5864049,8.7,1.48,3.4
2024,Izmir,4493242,8.7,1.48,3.4
2024,Adana,2280484,8.7,1.48,3.4
2024,Mugla,1081867,8.7,1.48,3.4
2024,Van,1118087,8.7,1.48,3.4
